´ŽèCategory,Year,Count,Capital_Project_No,Project,Revenue_Source,Budget_Allocation
SCHOOL SYSTEM PROJECTS,2016,1,E1038,FY2017 PLANNING AND DESIGN,TRANSFER TAX,"$300,000.00"
DRAINAGE PROJECTS,2016,1,D1169,FY2016 STORM DRAIN CULVERT REPLACEMENT PROGRAM,BONDS,"$1,200,000.00"
DRAINAGE PROJECTS,2016,1,D1174,FY2016 SPRING GLEN DRAINAGE IMPROVEMENTS,BONDS,"$75,000.00"
GENERAL COUNTY PROJECTS,2016,1,C0344,FY2016 SOUTHEAST INFRASTRUCTURE IMPROVEMENTS,GRANTS,"$100,000.00"
GENERAL COUNTY PROJECTS,2016,1,C0344,FY2016 SOUTHEAST INFRASTRUCTURE IMPROVEMENTS,BONDS,"$50,000.00"
WATER PROJECTS,2016,1,W8602,FY2016 SLEEVES RELOCATIONS AND APPURTENANCES,UTILITY CASH,"$2,000,000.00"
WATER PROJECTS,2016,1,W8602,FY2016 SLEEVES RELOCATIONS AND APPURTENANCES,METRO DISTRICT BOND,"$2,050,000.00"
GENERAL COUNTY PROJECTS,2016,1,C0343,FY2016 SALT STORAGE FACILITY,BONDS,"$1,000,000.00"
SEWER PROJECTS,2016,1,S6297,FY2016 OLD FREDERICK ROAD PUMPING STATION UPGRADE,METRO DISTRICT BOND,"$235,000.00"
SCHOOL SYSTEM PROJECTS,2016,1,E1028,FY2016 NEW ELEMENTARY SCHOOL #42,BONDS,"$2,807,000.00"
SEWER PROJECTS,2016,1,S6295,FY2016 LPWRP 8th ADDITION BIOSOLIDS PROCESSING FACILITIES,METRO DISTRICT BOND,"$84,000,000.00"
SEWER PROJECTS,2016,1,S6296,FY2016 HARRIET TUBMAN LANE SEWER EXTENSION,UTILITY CASH,"$130,000.00"
DRAINAGE PROJECTS,2016,1,D1173,FY2016 HARRIET TUBMAN LANE DRAINAGE IMPROVEMENTS,BONDS,"$125,000.00"
DRAINAGE PROJECTS,2016,1,D1172,FY2016 DORSEY RUN TRIBUTARY STORM DRAIN REPAIR,BONDS,"$700,000.00"
