´_èCategory,Count,Capital_Project_No,Fiscal_Year,Project_Title,Spent/Encumbered,Budget
AGRICULTURAL PRESERVATION,1,G0163,1988,Agricultural Land Preservation Program,"$119,931,556.54","$170,608,000.00"
BRIDGE PROJECTS,1,B3831,2007,River Road Bridge - Rockburn,"$350,821.50","$1,325,000.00"
BRIDGE PROJECTS,1,B3835,2006,Henryton Road Bridge,"$558,676.13","$1,715,000.00"
BRIDGE PROJECTS,1,B3838,2006,Pindell School Road Bridge,"$252,196.37","$1,360,000.00"
BRIDGE PROJECTS,1,B3840,1996,Daisy Road Bridge,"$431,758.21","$1,454,000.00"
BRIDGE PROJECTS,1,B3849,1996,Daisy Road Bridge,"$212,041.42","$1,974,000.00"
BRIDGE PROJECTS,1,B3850,2001,Bridge Inspection Program,"$1,406,866.74","$1,430,000.00"
BRIDGE PROJECTS,1,B3853,2000,Emergency Bridge Reconstruction,"$3,351,902.01","$3,545,000.00"
BRIDGE PROJECTS,1,B3856,2001,Old Montgomery Road Bridge,"$1,938,234.16","$2,226,000.00"
BRIDGE PROJECTS,1,B3857,2001,Systemic Bridge Improvements,"$1,364,800.43","$1,996,000.00"
BRIDGE PROJECTS,1,B3862,2013,Retaining Walls,"$26,564.34","$1,250,000.00"
BRIDGE PROJECTS,1,B3863,2013,Downtown Columbia-Oakland Mills Connection,"$69,982.25","$600,000.00"
COMMUNITY RENEWAL,1,U7097,2012,New Roger Carter Recreation Center,"$1,423,000.00","$5,923,000.00"
DRAINAGE PROJECTS,1,D1112,1997,Davis Avenue Area Drainage Improvements,"$230,142.40","$687,000.00"
DRAINAGE PROJECTS,1,D1124,2007,Drainage Improvement Program,"$1,543,859.36","$2,435,000.00"
DRAINAGE PROJECTS,1,D1125,2004,Emergency Storm Drain Reconstruction,"$936,389.07","$1,475,000.00"
DRAINAGE PROJECTS,1,D1140,2005,Pine Tree/Glen Court Storm Drain System,"$1,589,837.42","$2,495,000.00"
DRAINAGE PROJECTS,1,D1148,2007,NPDES Watershed Management Program,"$3,117,958.20","$4,805,000.00"
DRAINAGE PROJECTS,1,D1150,2005,High Ridge Drainage,"$1,288,916.19","$1,400,000.00"
DRAINAGE PROJECTS,1,D1155,2006,Lincoln Drive/Cedar Villa Park Drainage,"$177,275.77","$1,635,000.00"
DRAINAGE PROJECTS,1,D1157,2006,St Johns Lane Drainage Study,"$609,636.49","$1,515,000.00"
DRAINAGE PROJECTS,1,D1158,2008,Watershed Management Construction,"$14,251,590.99","$16,475,000.00"
DRAINAGE PROJECTS,1,D1159,2007,Stormwater Management Facility Reconstruction,"$13,165,068.28","$17,690,000.00"
